Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Torey Krug,STL,30,D,61,9,40,28,49,33,-4,20:29,16:30,3:53,0:05,0.432,1.92,2.352,0.417,0.834,1.251,0.507,6.586,7.092,0.148,0.656,0.803,144,6.3%,36,48
Elias Lindholm,CGY,27,RW,70,29,25,19,54,22,-8,19:43,14:48,2:49,2:05,1.26,1.086,2.346,1.216,0.81,2.026,2.423,3.332,5.755,0.414,0.357,0.771,169,17.2%,93,41
Pierre-Luc Dubois,WPG,23,C,70,18,31,10,49,49,-2,17:55,15:09,2:40,0:06,0.86,1.482,2.342,0.961,1.244,2.205,0.321,2.887,3.208,0.257,0.443,0.7,158,11.4%,85,50
Bo Horvat,VAN,26,C,69,22,31,16,53,21,-15,19:43,15:36,3:42,0:24,0.97,1.366,2.336,0.557,1.504,2.06,2.814,0.938,3.752,0.319,0.449,0.768,178,12.4%,55,66
T.J. Oshie,WSH,33,RW,69,26,23,12,49,26,4,18:17,14:33,3:34,0:08,1.236,1.093,2.329,0.955,1.254,2.209,2.428,0.486,2.913,0.377,0.333,0.71,133,19.6%,90,58
Jordan Eberle,SEA,31,RW,58,16,24,11,40,12,1,17:48,15:12,2:35,0:00,0.929,1.394,2.323,0.816,1.156,1.973,1.595,2.791,4.386,0.276,0.414,0.69,136,11.8%,37,39
William Karlsson,VGK,28,C,63,15,31,8,46,16,11,18:51,14:59,1:57,1:55,0.757,1.565,2.322,0.699,1.398,2.097,0.973,2.92,3.893,0.238,0.492,0.73,138,10.9%,40,38
Patric Hörnqvist,PIT,32,LW,52,17,15,7,32,36,9,15:55,12:35,3:20,0:00,1.231,1.086,2.318,1.284,1.009,2.292,1.035,1.38,2.415,0.327,0.288,0.615,168,10.1%,107,41
Clayton Keller,ARI,23,LW,70,17,27,15,44,28,-6,16:17,13:34,2:41,0:01,0.894,1.42,2.314,0.947,0.884,1.831,0.636,4.131,4.767,0.243,0.386,0.629,184,9.2%,20,13
Tyler Toffoli,CGY,29,RW,68,24,20,10,44,20,-1,16:49,13:45,2:09,0:54,1.258,1.048,2.307,1.219,0.962,2.181,2.037,2.037,4.073,0.353,0.294,0.647,203,11.8%,48,16
Jesper Bratt,NJD,23,RW,60,16,16,6,32,6,-6,13:58,11:56,2:00,0:01,1.144,1.144,2.289,1.256,0.921,2.178,0.497,2.484,2.981,0.267,0.267,0.533,101,15.8%,29,22
Zach Hyman,EDM,29,LW,51,21,16,6,37,23,13,19:05,16:07,1:05,1:52,1.294,0.986,2.279,1.24,0.948,2.188,3.21,3.21,6.421,0.412,0.314,0.725,106,19.8%,52,23
Sean Monahan,CGY,26,C,70,22,26,16,48,25,-16,18:04,15:11,2:51,0:01,1.043,1.233,2.276,0.79,1.016,1.806,2.394,2.394,4.788,0.314,0.371,0.686,166,13.3%,65,22
Tyler Seguin,DAL,27,C,69,17,33,15,50,22,-2,19:08,15:52,2:33,0:42,0.772,1.499,2.27,0.767,1.15,1.917,1.018,4.074,5.092,0.246,0.478,0.725,245,6.9%,90,31
Matt Duchene,NSH,28,C,66,13,29,11,42,24,-4,16:52,14:12,2:38,0:01,0.7,1.562,2.262,0.512,1.471,1.983,1.718,2.061,3.779,0.197,0.439,0.636,136,9.6%,40,22
Evander Kane,EDM,30,RW,64,26,21,18,47,122,-12,19:32,15:27,2:43,1:21,1.248,1.008,2.255,0.606,1.031,1.637,4.826,1.379,6.205,0.406,0.328,0.734,216,12.0%,135,25
Joshua Bailey,NYI,32,LW,68,14,29,9,43,10,-12,16:53,13:39,1:47,1:26,0.731,1.514,2.245,0.71,1.421,2.131,0.981,3.434,4.415,0.206,0.426,0.632,94,14.9%,20,48
