Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathew Barzal,NYI,24,C,55,17,28,8,45,48,15,18:44,16:12,2:30,0:01,0.989,1.629,2.619,1.076,1.413,2.489,0.436,3.052,3.488,0.309,0.509,0.818,134,12.7%,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Svechnikov,CAR,21,LW/RW,55,15,27,17,42,44,1,17:32,14:35,2:56,0:00,0.933,1.679,2.612,0.823,1.047,1.87,1.484,4.824,6.309,0.273,0.491,0.764,147,10.2%,114,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Pettersson,VAN,23,C/LW,26,10,11,5,21,6,0,18:34,14:05,4:23,0:04,1.243,1.367,2.61,0.983,1.474,2.456,2.099,0.525,2.624,0.385,0.423,0.808,63,15.9%,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evander Kane,EDM,30,LW/RW,56,22,27,7,49,42,-1,20:11,15:40,2:46,1:45,1.167,1.432,2.599,1.163,1.436,2.599,1.157,1.543,2.7,0.393,0.482,0.875,194,11.3%,97,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Farabee,PHI,20,C/LW/RW,55,20,18,7,38,28,0,16:01,12:32,1:59,1:29,1.362,1.226,2.588,1.479,1.218,2.698,1.638,2.183,3.821,0.364,0.327,0.691,122,16.4%,48,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Konecny,PHI,24,RW,50,11,23,11,34,26,-5,15:53,13:35,2:16,0:01,0.83,1.736,2.567,0.618,1.412,2.03,2.105,3.684,5.789,0.22,0.46,0.68,100,11.0%,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeny Kuznetsov,WSH,29,C,41,9,20,8,29,18,7,16:34,14:03,2:29,0:02,0.795,1.766,2.561,0.833,1.354,2.187,0.589,4.122,4.711,0.22,0.488,0.707,78,11.5%,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Wilson,WSH,27,RW,47,13,20,8,33,96,1,16:32,13:17,1:39,1:34,1.003,1.544,2.547,0.768,1.536,2.304,3.068,3.068,6.135,0.277,0.426,0.702,83,15.7%,105,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Tkachuk,CGY,24,LW/RW,56,16,27,15,43,55,6,18:09,14:53,3:12,0:03,0.944,1.594,2.538,0.863,1.151,2.015,1.337,3.678,5.015,0.286,0.482,0.768,151,10.6%,132,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Lindholm,CGY,27,C/RW,56,19,28,16,47,22,10,19:53,14:21,3:10,2:22,1.023,1.508,2.531,0.97,1.269,2.239,2.027,3.379,5.406,0.339,0.5,0.839,130,14.6%,53,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
